displayName,guid,type
dhcpReservations,"963d274a-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpServers,"963d2745-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpSites,"963d2749-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpState,"963d2752-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpSubnets,"963d2746-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpType,"963d273b-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpUniqueKey,"963d273a-48be-11d1-a9c3-0000f80367c1","AD Attribute"
dhcpUpdateTime,"963d2755-48be-11d1-a9c3-0000f80367c1","AD Attribute"
displayName,"bf967953-0de6-11d0-a285-00aa003049e2","AD Attribute"
displayNamePrintable,"bf967954-0de6-11d0-a285-00aa003049e2","AD Attribute"
dITContentRules,"9a7ad946-ca53-11d1-bbd0-0080c76670c0","AD Attribute"
division,"fe6136a0-2073-11d0-a9c2-00aa006c33ed","AD Attribute"
dMDLocation,"f0f8ff8b-1191-11d0-a060-00aa006c33ed","AD Attribute"
dmdName,"167757b9-47f3-11d1-a9c3-0000f80367c1","AD Attribute"
dNReferenceUpdate,"2df90d86-009f-11d2-aa4c-00c04fd7d83a","AD Attribute"
dnsAllowDynamic,"e0fa1e65-9b45-11d0-afdd-00c04fd930c9","AD Attribute"
dnsAllowXFR,"e0fa1e66-9b45-11d0-afdd-00c04fd930c9","AD Attribute"
dNSHostName,"72e39547-7b18-11d1-adef-00c04fd8d5cd","AD Attribute"
dnsNotifySecondaries,"e0fa1e68-9b45-11d0-afdd-00c04fd930c9","AD Attribute"
dNSProperty,"675a15fe-3b70-11d2-90cc-00c04fd91ab1","AD Attribute"
dnsRecord,"e0fa1e69-9b45-11d0-afdd-00c04fd930c9","AD Attribute"
dnsRoot,"bf967959-0de6-11d0-a285-00aa003049e2","AD Attribute"
dnsSecureSecondaries,"e0fa1e67-9b45-11d0-afdd-00c04fd930c9","AD Attribute"
dNSTombstoned,"d5eb2eb7-be4e-463b-a214-634a44d7392e","AD Attribute"
documentAuthor,"f18a8e19-af5f-4478-b096-6f35c27eb83f","AD Attribute"
documentIdentifier,"0b21ce82-ff63-46d9-90fb-c8b9f24e97b9","AD Attribute"
documentLocation,"b958b14e-ac6d-4ec4-8892-be70b69f7281","AD Attribute"
documentPublisher,"170f09d7-eb69-448a-9a30-f1afecfd32d7","AD Attribute"
documentTitle,"de265a9c-ff2c-47b9-91dc-6e6fe2c43062","AD Attribute"
documentVersion,"94b3a8a9-d613-4cec-9aad-5fbcc1046b43","AD Attribute"
domainCAs,"7bfdcb7a-4807-11d1-a9c3-0000f80367c1","AD Attribute"
dc,"19195a55-6da0-11d0-afd3-00c04fd930c9","AD Attribute"
domainCrossRef,"b000ea7b-a086-11d0-afdd-00c04fd930c9","AD Attribute"
domainID,"963d2734-48be-11d1-a9c3-0000f80367c1","AD Attribute"
