filename,systemFile
wermgr.exe,true
wevtutil.exe,true
wextract.exe,true
WFS.exe,true
where.exe,true
whoami.exe,true
wiaacmgr.exe,true
wiawow64.exe,true
wifitask.exe,true
wimserv.exe,true
win32calc.exe,true
WinBioDataModelOOBE.exe,true
windeploy.exe,true
Windows.Media.BackgroundPlayback.exe,true
Windows.WARP.JITService.exe,true
WindowsActionDialog.exe,true
WindowsUpdateElevatedInstaller.exe,true
wininit.exe,true
winload.exe,true
winlogon.exe,true
WinMgmt.exe,true
winresume.exe,true
winrs.exe,true
winrshost.exe,true
WinRTNetMUAHostServer.exe,true
WinSAT.exe,true
winver.exe,true
wkspbroker.exe,true
wksprt.exe,true
wlanext.exe,true
wlms.exe,true
wlrmdr.exe,true
WMIADAP.exe,true
WmiApSrv.exe,true
WMIC.exe,true
WmiPrvSE.exe,true
WMPDMC.exe,true
WorkFolders.exe,true
wowreg32.exe,true
WpcMon.exe,true
WpcTok.exe,true
WPDShextAutoplay.exe,true
wpnpinst.exe,true
wpr.exe,true
write.exe,true
wscadminui.exe,true
WSCollect.exe,true
wscript.exe,true
wsl.exe,true
wslconfig.exe,true
wslhost.exe,true
WSManHTTPConfig.exe,true
wsmprovhost.exe,true
wsqmcons.exe,true
WSReset.exe,true
wuapihost.exe,true
wuauclt.exe,true
WUDFCompanionHost.exe,true
WUDFHost.exe,true
wusa.exe,true
WWAHost.exe,true
XblGameSaveTask.exe,true
xcopy.exe,true
xwizard.exe,true
